"DATA No"                         ,"X[mm]"                           ,"N[Ncm]"                          ,"jikuban"                         
         0, 1.666667E-02, 3.420000E+00,    0
         1, 3.333333E-02, 3.390000E+00,    0
         2, 5.000000E-02, 3.340000E+00,    0
         3, 6.666666E-02, 3.340000E+00,    0
         4, 8.333333E-02, 3.290000E+00,    0
         5, 9.999999E-02, 3.340000E+00,    0
         6, 1.166667E-01, 3.320000E+00,    0
         7, 1.333333E-01, 3.240000E+00,    0
         8, 1.500000E-01, 3.290000E+00,    0
         9, 1.666666E-01, 3.340000E+00,    0
        10, 1.833333E-01, 3.290000E+00,    0
        11, 2.000000E-01, 3.270000E+00,    0
        12, 2.166666E-01, 3.440000E+00,    0
        13, 2.333333E-01, 3.370000E+00,    0
        14, 2.500000E-01, 3.370000E+00,    0
        15, 2.666667E-01, 3.390000E+00,    0
        16, 2.833333E-01, 3.340000E+00,    0
        17, 3.000000E-01, 3.320000E+00,    0
        18, 3.166667E-01, 3.340000E+00,    0
        19, 3.333333E-01, 3.290000E+00,    0
        20, 3.500000E-01, 3.270000E+00,    0
        21, 3.666667E-01, 3.370000E+00,    0
        22, 3.833334E-01, 3.190000E+00,    0
        23, 4.000001E-01, 3.290000E+00,    0
        24, 4.166667E-01, 3.270000E+00,    0
        25, 4.333334E-01, 3.240000E+00,    0
        26, 4.500000E-01, 3.290000E+00,    0
        27, 4.666667E-01, 3.340000E+00,    0
        28, 4.833333E-01, 3.220000E+00,    0
        29, 5.000000E-01, 3.270000E+00,    0
        30, 5.166666E-01, 3.340000E+00,    0
        31, 5.333332E-01, 3.320000E+00,    0
        32, 5.499999E-01, 3.320000E+00,    0
        33, 5.666665E-01, 3.320000E+00,    0
        34, 5.833332E-01, 3.290000E+00,    0
        35, 5.999998E-01, 3.370000E+00,    0
        36, 6.166665E-01, 3.440000E+00,    0
        37, 6.333331E-01, 3.340000E+00,    0
        38, 6.499998E-01, 3.390000E+00,    0
        39, 6.666664E-01, 3.320000E+00,    0
        40, 6.833331E-01, 3.240000E+00,    0
        41, 6.999997E-01, 3.340000E+00,    0
        42, 7.166664E-01, 3.470000E+00,    0
        43, 7.333331E-01, 3.320000E+00,    0
        44, 7.499997E-01, 3.370000E+00,    0
        45, 7.666664E-01, 3.490000E+00,    0
        46, 7.833330E-01, 3.440000E+00,    0
        47, 7.999997E-01, 3.490000E+00,    0
        48, 8.166663E-01, 3.540000E+00,    0
        49, 8.333330E-01, 3.520000E+00,    0
        50, 8.499997E-01, 3.470000E+00,    0
        51, 8.666663E-01, 3.540000E+00,    0
        52, 8.833330E-01, 3.470000E+00,    0
        53, 8.999996E-01, 3.440000E+00,    0
        54, 9.166663E-01, 3.420000E+00,    0
        55, 9.333329E-01, 3.270000E+00,    0
        56, 9.499996E-01, 3.370000E+00,    0
        57, 9.666662E-01, 3.390000E+00,    0
        58, 9.833329E-01, 3.370000E+00,    0
        59, 9.999995E-01, 3.390000E+00,    0
        60, 1.016666E+00, 3.440000E+00,    0
        61, 1.033333E+00, 3.340000E+00,    0
        62, 1.049999E+00, 3.370000E+00,    0
        63, 1.066666E+00, 3.440000E+00,    0
        64, 1.083333E+00, 3.440000E+00,    0
        65, 1.099999E+00, 3.390000E+00,    0
        66, 1.116666E+00, 3.540000E+00,    0
        67, 1.133333E+00, 3.520000E+00,    0
        68, 1.149999E+00, 3.440000E+00,    0
        69, 1.166666E+00, 3.440000E+00,    0
        70, 1.183333E+00, 3.370000E+00,    0
        71, 1.199999E+00, 3.440000E+00,    0
        72, 1.216666E+00, 3.370000E+00,    0
        73, 1.233333E+00, 3.240000E+00,    0
        74, 1.249999E+00, 3.340000E+00,    0
        75, 1.266666E+00, 3.420000E+00,    0
        76, 1.283333E+00, 3.290000E+00,    0
        77, 1.299999E+00, 3.390000E+00,    0
        78, 1.316666E+00, 3.420000E+00,    0
        79, 1.333333E+00, 3.370000E+00,    0
        80, 1.349999E+00, 3.440000E+00,    0
        81, 1.366666E+00, 3.490000E+00,    0
        82, 1.383332E+00, 3.490000E+00,    0
        83, 1.399999E+00, 3.490000E+00,    0
        84, 1.416666E+00, 3.520000E+00,    0
        85, 1.433332E+00, 3.390000E+00,    0
        86, 1.449999E+00, 3.490000E+00,    0
        87, 1.466666E+00, 3.490000E+00,    0
        88, 1.483332E+00, 3.490000E+00,    0
        89, 1.499999E+00, 3.540000E+00,    0
        90, 1.516666E+00, 3.540000E+00,    0
        91, 1.533332E+00, 3.390000E+00,    0
        92, 1.549999E+00, 3.420000E+00,    0
        93, 1.566666E+00, 3.540000E+00,    0
        94, 1.583332E+00, 3.470000E+00,    0
        95, 1.599999E+00, 3.590000E+00,    0
        96, 1.616666E+00, 3.670000E+00,    0
        97, 1.633332E+00, 3.590000E+00,    0
        98, 1.649999E+00, 3.520000E+00,    0
        99, 1.666666E+00, 3.540000E+00,    0
       100, 1.683332E+00, 3.490000E+00,    0
       101, 1.699999E+00, 3.540000E+00,    0
       102, 1.716666E+00, 3.540000E+00,    0
       103, 1.733332E+00, 3.540000E+00,    0
       104, 1.749999E+00, 3.620000E+00,    0
       105, 1.766666E+00, 3.640000E+00,    0
       106, 1.783332E+00, 3.490000E+00,    0
       107, 1.799999E+00, 3.470000E+00,    0
       108, 1.816666E+00, 3.520000E+00,    0
       109, 1.833332E+00, 3.370000E+00,    0
       110, 1.849999E+00, 3.420000E+00,    0
       111, 1.866665E+00, 3.470000E+00,    0
       112, 1.883332E+00, 3.440000E+00,    0
       113, 1.899999E+00, 3.390000E+00,    0
       114, 1.916665E+00, 3.490000E+00,    0
       115, 1.933332E+00, 3.440000E+00,    0
       116, 1.949999E+00, 3.440000E+00,    0
       117, 1.966665E+00, 3.520000E+00,    0
       118, 1.983332E+00, 3.490000E+00,    0
       119, 1.999999E+00, 3.540000E+00,    0
       120, 2.016665E+00, 3.520000E+00,    0
       121, 2.033332E+00, 3.390000E+00,    0
       122, 2.049999E+00, 3.420000E+00,    0
       123, 2.066665E+00, 3.470000E+00,    0
       124, 2.083332E+00, 3.290000E+00,    0
       125, 2.099998E+00, 3.320000E+00,    0
       126, 2.116665E+00, 3.420000E+00,    0
       127, 2.133332E+00, 3.320000E+00,    0
       128, 2.149998E+00, 3.370000E+00,    0
       129, 2.166665E+00, 3.420000E+00,    0
       130, 2.183332E+00, 3.370000E+00,    0
       131, 2.199998E+00, 3.420000E+00,    0
       132, 2.216665E+00, 3.490000E+00,    0
       133, 2.233332E+00, 3.490000E+00,    0
       134, 2.249998E+00, 3.670000E+00,    0
       135, 2.266665E+00, 3.640000E+00,    0
       136, 2.283332E+00, 3.520000E+00,    0
       137, 2.299998E+00, 3.520000E+00,    0
       138, 2.316665E+00, 3.520000E+00,    0
       139, 2.333332E+00, 3.370000E+00,    0
       140, 2.349998E+00, 3.470000E+00,    0
       141, 2.366665E+00, 3.540000E+00,    0
       142, 2.383332E+00, 3.420000E+00,    0
       143, 2.399998E+00, 3.470000E+00,    0
       144, 2.416665E+00, 3.420000E+00,    0
       145, 2.433331E+00, 3.340000E+00,    0
       146, 2.449998E+00, 3.340000E+00,    0
       147, 2.466665E+00, 3.470000E+00,    0
       148, 2.483331E+00, 3.440000E+00,    0
       149, 2.499998E+00, 3.570000E+00,    0
       150, 2.516665E+00, 3.470000E+00,    0
       151, 2.533331E+00, 3.390000E+00,    0
       152, 2.549998E+00, 3.440000E+00,    0
       153, 2.566665E+00, 3.440000E+00,    0
       154, 2.583331E+00, 3.340000E+00,    0
       155, 2.599998E+00, 3.440000E+00,    0
       156, 2.616665E+00, 3.490000E+00,    0
       157, 2.633331E+00, 3.340000E+00,    0
       158, 2.649998E+00, 3.320000E+00,    0
       159, 2.666665E+00, 3.390000E+00,    0
       160, 2.683331E+00, 3.270000E+00,    0
       161, 2.699998E+00, 3.290000E+00,    0
       162, 2.716665E+00, 3.420000E+00,    0
       163, 2.733331E+00, 3.340000E+00,    0
       164, 2.749998E+00, 3.340000E+00,    0
       165, 2.766665E+00, 3.390000E+00,    0
       166, 2.783331E+00, 3.390000E+00,    0
       167, 2.799998E+00, 3.470000E+00,    0
       168, 2.816664E+00, 3.440000E+00,    0
       169, 2.833331E+00, 3.340000E+00,    0
       170, 2.849998E+00, 3.370000E+00,    0
       171, 2.866664E+00, 3.470000E+00,    0
       172, 2.883331E+00, 3.340000E+00,    0
       173, 2.899998E+00, 3.420000E+00,    0
       174, 2.916664E+00, 3.470000E+00,    0
       175, 2.933331E+00, 3.290000E+00,    0
       176, 2.949998E+00, 3.270000E+00,    0
       177, 2.966664E+00, 3.370000E+00,    0
       178, 2.983331E+00, 3.370000E+00,    0
       179, 2.999998E+00, 3.320000E+00,    0
       180, 3.016664E+00, 3.420000E+00,    0
       181, 3.033331E+00, 3.340000E+00,    0
       182, 3.049998E+00, 3.370000E+00,    0
       183, 3.066664E+00, 3.440000E+00,    0
       184, 3.083331E+00, 3.420000E+00,    0
       185, 3.099998E+00, 3.470000E+00,    0
       186, 3.116664E+00, 3.570000E+00,    0
       187, 3.133331E+00, 3.440000E+00,    0
       188, 3.149997E+00, 3.540000E+00,    0
       189, 3.166664E+00, 3.540000E+00,    0
       190, 3.183331E+00, 3.340000E+00,    0
       191, 3.199997E+00, 3.390000E+00,    0
       192, 3.216664E+00, 3.470000E+00,    0
       193, 3.233331E+00, 3.370000E+00,    0
       194, 3.249997E+00, 3.340000E+00,    0
       195, 3.266664E+00, 3.390000E+00,    0
       196, 3.283331E+00, 3.290000E+00,    0
       197, 3.299997E+00, 3.290000E+00,    0
       198, 3.316664E+00, 3.340000E+00,    0
       199, 3.333331E+00, 3.370000E+00,    0
       200, 3.349998E+00, 3.470000E+00,    0
       201, 3.366664E+00, 3.470000E+00,    0
